time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-11-04T19:56:34.281Z,38.8958,-118.8326,1.1,2.3,ml,16.0,59.9,0.545,0.2101,nn,nn00868445,2023-11-04T19:58:55.123Z,"6 km SSW of Schurz, Nevada",earthquake,,7.0,0.27,10.0,automatic,nn,nn
2023-11-04T19:55:33.875Z,37.5842,73.9941,10.0,4.5,mwr,49.0,105.0,2.557,0.56,us,us7000l8wg,2023-11-04T21:20:23.040Z,"65 km S of Murghob, Tajikistan",earthquake,7.15,1.892,0.052,36.0,reviewed,us,us
2023-11-04T17:50:49.770Z,38.6878319,-122.4978333,6.47,2.18,md,30.0,57.0,,0.11,nc,nc73956045,2023-11-04T19:32:13.523Z,"12 km SE of Middletown, CA",earthquake,0.24,0.85,0.08,34.0,automatic,nc,nc
2023-11-04T17:43:09.407Z,-19.6779,-175.6875,215.218,4.6,mb,33.0,151.0,1.552,1.05,us,us7000l8w5,2023-11-04T18:33:12.040Z,Tonga,earthquake,13.84,8.49,0.09,40.0,reviewed,us,us
2023-11-04T17:11:33.477Z,57.8236,-153.3854,47.5,2.2,ml,,,,0.39,ak,ak023e5npotz,2023-11-04T17:15:27.650Z,"30 km W of Port Lions, Alaska",earthquake,,1.8,,,automatic,ak,ak
2023-11-04T16:23:47.747Z,-4.0351,127.3691,226.33,4.5,mb,26.0,72.0,2.574,0.51,us,us7000l8vy,2023-11-04T16:37:55.040Z,"97 km WSW of Ambon, Indonesia",earthquake,7.5,6.754,0.121,23.0,reviewed,us,us
2023-11-04T15:53:07.690Z,19.1608333587646,-155.513168334961,37.0699996948242,2.19,ml,43.0,110.0,,0.159999996,hv,hv73638977,2023-11-04T15:58:38.790Z,"5 km SW of P캐hala, Hawaii",earthquake,0.54,0.720000029,5.15,3.0,automatic,hv,hv
2023-11-04T14:03:24.481Z,14.0271,-91.5425,54.866,4.2,mb,25.0,178.0,1.716,0.75,us,us7000l8vc,2023-11-04T16:31:38.040Z,"32 km SW of Nueva Concepci칩n, Guatemala",earthquake,4.83,17.899,0.084,39.0,reviewed,us,us
2023-11-04T13:22:11.839Z,31.593,-104.256,10.5791,2.4,ml(texnet),18.0,72.0,0.1,0.2,tx,tx2023vpxx,2023-11-04T16:47:09.964Z,"53 km NW of Toyah, Texas",earthquake,1.467672791,2.007042521,0.2,12.0,reviewed,tx,tx
2023-11-04T12:49:52.601Z,-20.5156,-177.8899,382.817,4.3,mb,45.0,78.0,2.595,0.75,us,us7000l8v5,2023-11-04T13:12:04.040Z,"278 km WNW of Houma, Tonga",earthquake,12.29,7.405,0.066,68.0,reviewed,us,us
2023-11-04T12:27:34.660Z,35.4138333333333,-83.5285,13.01,2.51,md,21.0,53.0,0.2441,0.14,se,se60501268,2023-11-04T18:36:00.574Z,"7 km WSW of Bryson City, North Carolina",earthquake,0.43,1.81,0.0608846971042487,13.0,reviewed,se,se
2023-11-04T12:26:00.906Z,20.2008,122.0072,11.274,4.4,mb,52.0,101.0,2.743,0.86,us,us7000l8v3,2023-11-04T12:55:51.040Z,"27 km S of Basco, Philippines",earthquake,8.43,4.493,0.1,29.0,reviewed,us,us
2023-11-04T11:57:41.893Z,53.9602,-164.0354,25.6,2.6,ml,,,,0.35,ak,ak023e5keypj,2023-11-04T15:18:35.834Z,"107 km SSW of False Pass, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2023-11-04T11:00:36.451Z,6.7225,-73.078,158.062,4.6,mb,74.0,45.0,0.825,0.64,us,us7000l8uy,2023-11-04T11:48:59.040Z,northern Colombia,earthquake,9.53,8.188,0.029,344.0,reviewed,us,us
2023-11-04T10:28:38.896Z,44.6143,-112.4982,12.408,2.6,ml,20.0,78.0,0.104,0.4,us,us7000l8uu,2023-11-04T13:43:21.270Z,Idaho-Montana border region,earthquake,3.07,2.894,0.046,61.0,reviewed,us,us
2023-11-04T10:18:31.348Z,66.5496,-157.9695,15.0,3.2,ml,,,,0.83,ak,ak023e5jl5ox,2023-11-04T11:04:08.040Z,"52 km SW of Shungnak, Alaska",earthquake,,6.3,,,automatic,ak,ak
2023-11-04T10:00:13.370Z,18.0211666666667,-66.7746666666667,14.9,2.84,md,18.0,152.0,0.01609,0.15,pr,pr71430743,2023-11-04T10:18:38.320Z,"0 km NW of Magas Arriba, Puerto Rico",earthquake,0.31,0.43,0.146030643841454,8.0,reviewed,pr,pr
2023-11-04T09:59:48.016Z,-5.9481,131.1265,101.529,4.5,mb,30.0,116.0,1.867,0.57,us,us7000l8up,2023-11-04T10:18:27.040Z,"183 km W of Tual, Indonesia",earthquake,9.46,7.13,0.105,27.0,reviewed,us,us
2023-11-04T09:38:38.192Z,20.1401,147.7574,10.0,5.0,mb,64.0,83.0,7.077,0.78,us,us7000l8um,2023-11-04T15:48:50.171Z,Mariana Islands region,earthquake,10.92,1.864,0.033,287.0,reviewed,us,us
2023-11-04T09:16:19.890Z,19.2948341369629,-155.389663696289,1.12000000476837,2.05999994,md,18.0,158.0,,0.230000004,hv,hv73638847,2023-11-04T09:19:31.880Z,"13 km NE of P캐hala, Hawaii",earthquake,0.56,0.689999998,2.20000005,4.0,automatic,hv,hv
2023-11-04T09:12:40.899Z,51.1361,179.1693,35.0,4.0,ml,37.0,196.0,0.902,0.45,us,us7000l8uf,2023-11-04T15:06:19.517Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,11.5,2.013,0.077,22.0,reviewed,us,us
2023-11-04T09:06:37.839Z,31.776,-104.287,13.8429,2.1,ml(texnet),7.0,233.0,0.1,0.2,tx,tx2023vppm,2023-11-04T09:28:56.757Z,"45 km S of Whites City, New Mexico",earthquake,0.0,10.4896138,0.3,7.0,automatic,tx,tx
2023-11-04T09:05:54.400Z,17.9486666666667,-66.8475,14.85,2.25,md,12.0,210.0,0.04003,0.07,pr,pr71430733,2023-11-04T09:42:56.900Z,Puerto Rico region,earthquake,0.52,0.32,0.0637353090582142,8.0,reviewed,pr,pr
2023-11-04T09:01:33.534Z,59.4353,-152.6974,75.6,3.0,ml,,,,0.29,ak,ak023e5iw2sh,2023-11-04T09:12:48.040Z,"44 km W of Nanwalek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-11-04T08:48:36.630Z,17.8841666666667,-66.8963333333333,7.33,2.14,md,4.0,291.0,0.09184,0.09,pr,pr71430723,2023-11-04T09:01:47.160Z,"9 km S of Gu치nica, Puerto Rico",earthquake,0.84,0.35,0.184774812567358,2.0,reviewed,pr,pr
2023-11-04T08:39:04.854Z,31.66,-104.306,8.1111,2.4,ml(texnet),61.0,58.0,0.0,0.2,tx,tx2023vpon,2023-11-04T14:46:07.570Z,"57 km S of Whites City, New Mexico",earthquake,0.6109940244,0.8376315058,0.1,41.0,reviewed,tx,tx
2023-11-04T08:36:38.440Z,17.9753333333333,-66.847,14.36,2.82,md,30.0,177.0,0.0307,0.21,pr,pr71430713,2023-11-04T09:15:22.670Z,"3 km SW of Indios, Puerto Rico",earthquake,0.41,0.41,0.18000426915066,14.0,reviewed,pr,pr
2023-11-04T08:12:52.505Z,51.097,179.0667,20.8,3.0,ml,,,,0.35,ak,ak023e5id1s5,2023-11-04T14:52:07.711Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-11-04T08:11:30.430Z,35.694,-117.5226667,7.92,2.25,ml,31.0,75.0,0.08557,0.15,ci,ci39707258,2023-11-04T08:22:33.290Z,"14 km SW of Searles Valley, CA",earthquake,0.26,0.91,0.157,24.0,automatic,ci,ci
2023-11-04T07:44:59.800Z,38.8204994,-122.7624969,1.86,2.11,md,47.0,56.0,0.01152,0.05,nc,nc73955855,2023-11-04T09:38:11.157Z,"3 km W of Cobb, CA",earthquake,0.16,0.25,0.12,42.0,automatic,nc,nc
2023-11-04T07:20:31.928Z,51.9051,-173.6997,13.8,2.4,ml,,,,0.43,ak,ak023e5hta3k,2023-11-04T14:42:20.442Z,"47 km SE of Atka, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2023-11-04T06:40:58.769Z,59.7778,-153.0698,101.2,2.3,ml,,,,0.26,ak,ak023e5hc6u0,2023-11-04T06:47:52.040Z,"58 km E of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-11-04T05:54:02.887Z,39.6315,-119.6417,7.0,2.0,ml,25.0,75.38,0.053,0.1928,nn,nn00868427,2023-11-04T14:14:03.931Z,"5 km ESE of Spanish Springs, Nevada",earthquake,,1.2,0.3,7.0,reviewed,nn,nn
2023-11-04T05:38:30.875Z,37.7238,-97.9654,8.07,2.5,mb_lg,49.0,69.0,0.27,0.36,us,us7000l8tk,2023-11-04T12:47:15.496Z,"7 km SE of Pretty Prairie, Kansas",earthquake,1.82,7.555,0.088,34.0,reviewed,us,us
2023-11-04T03:34:51.234Z,51.7889,174.0456,10.0,4.6,mb,64.0,129.0,0.943,0.83,us,us7000l8t9,2023-11-04T04:06:37.040Z,"131 km SSE of Attu Station, Alaska",earthquake,5.98,1.78,0.049,123.0,reviewed,us,us
2023-11-04T03:20:44.900Z,35.6769981,-121.2473297,8.18,2.5,md,41.0,179.0,,0.19,nc,nc73955790,2023-11-04T06:32:25.044Z,"6 km NW of San Simeon, CA",earthquake,0.55,0.78,0.13,40.0,automatic,nc,nc
2023-11-04T01:40:31.749Z,39.0614,-97.587,10.0,2.9,mb_lg,17.0,87.0,0.762,0.46,us,us7000l8ss,2023-11-04T12:14:55.337Z,"3 km N of Bennington, Kansas",earthquake,2.08,1.988,0.049,108.0,reviewed,us,us
2023-11-04T01:28:02.983Z,39.0992,-97.5842,10.0,3.4,mb_lg,14.0,88.0,0.759,0.53,us,us7000l8sp,2023-11-04T18:16:48.288Z,"7 km N of Bennington, Kansas",earthquake,3.15,1.989,0.04,164.0,reviewed,us,us
2023-11-04T01:23:10.558Z,-41.1703,-89.8059,10.0,4.8,mb,34.0,157.0,12.543,0.93,us,us7000l8t0,2023-11-04T03:15:03.040Z,southeast of Easter Island,earthquake,5.47,1.896,0.109,26.0,reviewed,us,us
2023-11-04T00:53:25.200Z,19.2015,-155.488,32.03,3.02,ml,61.0,57.0,,0.12,hv,hv73638662,2023-11-04T20:29:44.133Z,"Hawaii region, Hawaii",earthquake,0.38,0.46,0.168014890996533,42.0,reviewed,hv,hv
2023-11-04T00:46:44.762Z,63.6171,-147.8595,7.6,2.8,ml,,,,0.86,ak,ak023e5dsuev,2023-11-04T01:04:53.040Z,"53 km ESE of Denali Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-11-04T00:25:40.565Z,-4.0444,128.9644,138.919,4.5,mb,45.0,52.0,1.051,0.73,us,us7000l8s5,2023-11-04T00:51:30.040Z,"78 km S of Amahai, Indonesia",earthquake,8.55,7.076,0.096,32.0,reviewed,us,us
2023-11-04T00:18:29.503Z,1.0637,125.6396,65.088,4.5,mb,24.0,82.0,1.751,0.87,us,us7000l8s4,2023-11-04T02:48:07.009Z,"70 km SE of Bitung, Indonesia",earthquake,10.4,10.919,0.125,19.0,reviewed,us,us
2023-11-03T23:57:40.980Z,17.9926666666667,-67.1596666666667,14.43,2.36,md,10.0,262.0,0.04957,0.12,pr,pr71430703,2023-11-04T00:12:14.800Z,"3 km NE of Pole Ojea, Puerto Rico",earthquake,0.73,0.46,0.0396154304194565,4.0,reviewed,pr,pr
2023-11-03T23:31:52.210Z,19.8828333333333,-156.69,41.22,3.9,ml,59.0,212.0,,0.18,hv,hv73638622,2023-11-04T17:58:03.347Z,"76 km WNW of Kalaoa, Hawaii",earthquake,0.59,1.45,0.166357229729158,48.0,reviewed,hv,hv
2023-11-03T22:31:35.325Z,29.0589,82.2652,10.0,4.0,mb,29.0,114.0,2.936,0.6,us,us7000l8rr,2023-11-04T16:00:59.202Z,"25 km SSE of Jumla, Nepal",earthquake,10.07,1.954,0.173,9.0,reviewed,us,us
2023-11-03T22:02:11.245Z,58.7047,-153.617,17.6,2.1,ml,,,,0.25,ak,ak023e433j7o,2023-11-04T04:12:24.770Z,"82 km NNW of Aleneva, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-11-03T21:48:22.910Z,47.7649,153.5117,10.0,4.8,mb,48.0,137.0,5.98,0.61,us,us7000l8rm,2023-11-03T23:35:50.040Z,Kuril Islands,earthquake,7.16,1.791,0.068,67.0,reviewed,us,us
